EAN;PRCUNIT;PSC
4897098683958;38,89;0
5397184223154;4884,50;0
5397184720196;265,25;0
889561889138;77,00;0
4897098682388;12,11;0
4038986180412;162,50;0
4038986110617;265,63;0
4038986110181;265,63;0
4015867228715;13,42;0
4015867228807;14,01;0
4977766826440;261,51;0
8052101431490;11,13;0
196802846776;123,57;0
5397184495384;59,25;0
8052101431537;10,49;0
192330828895;8,25;0
810010078278;,00;1
4549821410316;297,26;0
196800182807;659,00;0
190017516882;782,27;0
5014047600883;69,45;0
5397184505182;128,00;0
5412810336456;25,40;0
4015867228340;35,51;0
5397184720158;268,50;0
196803673180;926,82;0
4977766825894;187,81;0
4015867229101;30,44;0
4038986133760;80,21;0
BMiC3t;99,00;0
196380850561;386,17;0
5397184567777;194,25;0
5397184791301;337,00;0
4015867228685;9,57;0
4015867228692;10,16;0
4015867228708;11,15;0
5412810405985;165,88;0
4015867229460;9,46;0
4015867229477;9,46;0
4549821256372;510,70;0
4549821417001;556,97;0
4977766685450;12,01;0
5397184656884;165,25;0
4711174723065;,00;1
8052101431483;4,50;0
8052101431506;12,50;0
4711174723799;,00;1
4977766776844;16,68;0
4065221329329;48,00;0
5397184656815;334,00;0
4015867228357;56,24;0
4549821299911;283,79;0
4015867228753;15,58;0
4015867228760;10,16;0
4015867228777;11,24;0
5711724036910;15,24;0
5412810290871;6,00;0
5412810314652;14,05;0
5397184657102;126,25;0
196804685137;799,00;0
4038986180269;229,17;0
4977766815161;395,67;0
4977766824644;406,25;0
5397184656969;694,75;0
5397184807200;749,00;0
4977766815178;525,86;0
4977766815185;758,73;0
196379511312;1313,00;0
197529122464;1544,71;0
4977766821568;147,30;0
4977766826754;22,02;0
4977766826730;15,92;0
4977766826716;12,64;0
5397184821572;203,10;0
196118573281;849,00;0
5397184656846;463,75;0
4065221783411;125,00;0
4038986110723;229,79;0
6935364010430;57,50;0
6935364072339;76,88;0
4897098683293;96,25;0
4895252500752;327,50;0
4897098688786;75,63;0
4897098688748;90,63;0
4895252503111;127,50;0
4897098688762;152,50;0
5397184688137;112,00;0
4065221329633;2049,00;0
6947273702849;,00;1
4977766755245;484,21;0
196380741869;579,26;0
4015867228722;15,10;0
4015867228739;6,58;0
196802457446;115,85;0
8052101431544;33,17;0
0190017446219;605,93;0
4015867228746;14,51;0
4065221852254;169,00;0
